PlayerName,PhotoURL,CreatedAt,PlayerType,Introduction,DisplayOrder,UpdatedAt
Vadzim Lipauka,https://i.imgur.com/5gP5mRl.jpeg,2025-10-15T17:28:15.646Z,Key player,,0,2025-10-15T17:28:20.848Z
Ghassan Yared,https://i.imgur.com/9wbL3Dk.jpeg,2025-10-15T17:40:28.950Z,Key player,,0,2025-10-15T17:40:34.203Z
Congya Zhang,https://i.imgur.com/o4V05rG.jpeg,2025-10-15T17:41:13.888Z,Key player,TRUE,0,2025-10-18T13:40:05.726Z
Tobias Peters,https://i.imgur.com/yN24gXy.jpeg,2025-10-15T17:42:24.589Z,Key player,TRUE,0,2025-10-17T10:50:20.042Z
Dominik Panka,https://i.imgur.com/e7zFjxM.jpeg,2025-10-15T17:45:11.248Z,Key player,,0,2025-10-15T17:45:14.004Z
Alexandros Kolonias,https://i.imgur.com/yfOSQDF.jpeg,2025-10-15T17:45:47.877Z,Key player,TRUE,0,2025-10-18T15:32:12.273Z
Michael Komatz,https://i.imgur.com/91o9UPU.jpeg,2025-10-16T09:25:27.262Z,Key player,,0,2025-10-16T09:25:32.317Z
Esper Sadek,https://i.imgur.com/oQxOCad.jpeg,2025-10-16T09:26:23.080Z,Key player,,0,2025-10-16T09:26:27.483Z
Evgenii Gorokhovskii,https://i.imgur.com/79VAs4r.jpeg,2025-10-16T09:27:00.922Z,Key player,,0,2025-10-16T09:27:04.493Z
Georgios Tsouloftas,https://i.imgur.com/x22eXAq.jpeg,2025-10-16T09:27:55.692Z,Key player,TRUE,0,2025-10-18T15:36:42.761Z
Yuliyan Kolev,https://i.imgur.com/G4KVtba.jpeg,2025-10-16T09:28:11.281Z,Key player,TRUE,0,2025-10-18T12:25:52.315Z
Richard Broda,https://i.imgur.com/dx14CJO.jpeg,2025-10-16T09:28:36.747Z,Key player,,0,2025-10-16T09:28:39.202Z
Milos Skrbic,https://i.imgur.com/7y526Iw.jpeg,2025-10-16T09:28:59.769Z,Key player,,0,2025-10-16T09:29:04.361Z
Konstantin Generalov,https://i.imgur.com/6vEhrC4.jpeg,2025-10-16T09:29:40.340Z,Key player,,0,2025-10-16T09:29:44.566Z
Urmo Velvelt,https://i.imgur.com/pBZ28S0.jpeg,2025-10-16T09:30:34.593Z,Key player,TRUE,0,2025-10-16T19:48:51.388Z
Walid Bou Habib,https://i.imgur.com/dJoHsdK.jpeg,2025-10-16T09:31:16.378Z,Key player,,0,2025-10-16T09:31:18.566Z
Roman Lesko,https://i.imgur.com/UIAVUmY.jpeg,2025-10-16T09:31:48.987Z,Key player,,0,2025-10-16T09:31:53.453Z
Pavel Mikhovich,https://i.imgur.com/xnFljlm.jpeg,2025-10-16T09:32:40.942Z,Key player,,0,2025-10-16T09:32:48.042Z
Paul Esau,https://i.imgur.com/rYCdvbP.jpeg,2025-10-16T09:33:23.454Z,Key player,,0,2025-10-16T09:33:26.823Z
Viacheslav Buldygin,https://i.imgur.com/N1iZYtG.jpeg,2025-10-16T09:36:14.415Z,Key player,TRUE,0,2025-10-17T11:34:43.282Z
Mariia Asmolova,https://i.imgur.com/v1BBvVw.jpeg,2025-10-16T09:39:05.217Z,Key player,TRUE,0,2025-10-16T11:07:36.379Z
Frank Cucchiara,https://i.imgur.com/k6mCCZo.jpeg,2025-10-16T09:40:37.381Z,Key player,TRUE,0,2025-10-17T09:59:10.761Z
Lukas Zaskodny,https://i.imgur.com/qg8t3kY.jpeg,2025-10-16T10:10:13.801Z,Key player,TRUE,0,2025-10-18T15:36:07.174Z
Anatoly Zlotnikov,https://i.imgur.com/VWWjM0K.jpeg,2025-10-16T10:10:52.679Z,Key player,TRUE,0,2025-10-18T15:21:41.128Z
Eugene Katchalov,https://i.imgur.com/wP5og6s.jpeg,2025-10-16T10:17:44.431Z,Key player,TRUE,0,2025-10-18T13:38:36.153Z
Simone Andrian,https://i.imgur.com/3ycDz16.jpeg,2025-10-16T10:19:06.894Z,Key player,TRUE,0,2025-10-18T12:23:08.790Z
Fahredin Mustafov,https://i.imgur.com/DqtyOWl.jpeg,2025-10-16T10:43:51.004Z,Key player,TRUE,0,2025-10-17T10:44:07.715Z
Jon Kyte,https://i.imgur.com/s2PXZMB.jpeg,2025-10-16T10:45:21.421Z,Key player,TRUE,0,2025-10-18T12:22:28.627Z
Michal Schuh,https://i.imgur.com/4i4pyLk.jpeg,2025-10-16T10:50:08.982Z,Key player,TRUE,0,2025-10-16T10:50:20.110Z
Konstantin Voronin,https://i.imgur.com/2N44hxH.jpeg,2025-10-16T10:50:41.929Z,Key player,TRUE,0,2025-10-17T10:05:57.060Z
Aren Bezhanyan,https://i.imgur.com/YgV8Ge2.jpeg,2025-10-16T11:35:10.052Z,Key player,TRUE,,2025-10-18T15:20:15.344Z
Bernardo Miguel Baptista Das Neves,https://i.imgur.com/8PCkMvj.jpeg,2025-10-16T11:36:53.488Z,Key player,FALSE,,2025-10-18T15:52:25.558Z
Boris Kolev,https://i.imgur.com/oBLc7f1.jpeg,2025-10-16T11:37:41.954Z,Key player,TRUE,,2025-10-18T15:34:30.091Z
Renji Mao,https://i.imgur.com/1GcVtBR.jpeg,2025-10-16T13:13:07.228Z,Key player,TRUE,,2025-10-16T17:05:46.048Z
Timothy Chung,https://i.imgur.com/QBErPdY.jpeg,2025-10-16T13:13:54.252Z,Key player,TRUE,,2025-10-18T15:31:04.684Z
Artsiom Lasouski,https://i.imgur.com/dtZcEm1.jpeg,2025-10-16T13:14:33.514Z,Key player,TRUE,,2025-10-16T13:35:45.230Z
Mikhail Shalamov,https://i.imgur.com/FDu7DxV.jpeg,2025-10-16T15:42:43.089Z,Key player,TRUE,,2025-10-18T15:19:31.265Z
Alisa Sibgatova,https://i.imgur.com/brgs1HR.jpeg,2025-10-16T15:43:30.917Z,Key player,TRUE,,2025-10-18T15:31:35.663Z
Eric Afriat,https://i.imgur.com/RI4Lftz.jpeg,2025-10-17T09:38:18.809Z,Key player,TRUE,,2025-10-17T09:59:04.547Z
Oliver Weis,https://i.imgur.com/FDib2Ml.jpeg,2025-10-17T10:08:45.753Z,Key player,TRUE,,2025-10-18T15:33:12.369Z
Simeon Spasov,https://i.imgur.com/nb4ISIV.jpeg,2025-10-17T10:25:28.552Z,Key player,TRUE,,2025-10-18T12:21:45.341Z
Elena Litviniuk,https://i.imgur.com/ud0evrF.jpeg,2025-10-17T10:33:22.551Z,Key player,TRUE,,2025-10-17T10:48:30.891Z
Erik Wigg,https://i.imgur.com/tAsfb9g.jpeg,2025-10-17T11:47:15.188Z,Key player,TRUE,,2025-10-17T11:47:56.537Z
Yuxi Huang,https://i.imgur.com/cOQtacF.jpeg,2025-10-17T12:03:45.705Z,Key player,TRUE,,2025-10-18T13:37:57.116Z
Corey Eyring,https://i.imgur.com/BAoA07x.jpeg,2025-10-17T14:43:24.127Z,Key player,FALSE,,2025-10-17T14:43:30.689Z
Ivan Bryksin,https://i.imgur.com/2EWDdRp.jpeg,2025-10-18T15:33:39.587Z,Key player,FALSE,,2025-10-18T15:33:41.432Z
Jean Bellande,https://i.imgur.com/y50emFU.jpeg,2025-10-18T17:17:12.425Z,Key player,FALSE,,2025-10-18T17:17:15.178Z
Alexis Gavin,https://i.imgur.com/2GG4J3Q.jpeg,2025-10-18T17:45:36.684Z,Key player,FALSE,,2025-10-18T17:45:40.785Z
Lucien Cohen,https://i.imgur.com/eUDUzcy.jpeg,2025-10-18T19:32:21.319Z,Key player,FALSE,,2025-10-18T19:32:24.358Z
Daniel Rezaei,https://i.imgur.com/BOeOMYD.jpeg,2025-10-18T19:33:06.705Z,Key player,FALSE,,2025-10-18T19:33:10.722Z
Jan-Eric Schwippert,https://i.imgur.com/RyIqK7p.jpeg,2025-10-19T09:10:53.819Z,2025-10-19T09:10:53.819Z,FALSE,,
Darius Samual,https://i.imgur.com/YDGgkqd.jpeg,2025-10-19T09:14:25.074Z,2025-10-19T09:14:25.074Z,FALSE,,
