PokerRoom,TableName,TableId,TableNo,SeatId,SeatNo,PlayerId,PlayerName,Nationality,ChipCount
Main,Black,43149,1,429396,1,104616,Murat Altunok,TR,10000
Main,Black,43149,1,429397,2,102743,Stefano Spataro,IT,60000
Main,Black,43149,1,429398,3,104794,Azizjon Rakhimov,UZ,58000
Main,Black,43149,1,429399,4,104510,Aykut Fahri Arat,TR,12400
Main,Black,43149,1,429400,5,95665,Artem Kotkovskyi,UA,37000
Main,Black,43149,1,429401,6,104918,Dogan danyel Dinler,TR,45900
Main,Black,43149,1,429402,7,50858,Hasan Halil,CY,52100
Main,Black,43150,2,429406,1,103368,Balazs Ujvari,HU,33500
Main,Black,43150,2,429407,2,105007,Seyed Ahmad Haghgou,KN,24000
Main,Black,43150,2,429408,3,104058,Diego Gomez Gonzalez,ES,64000
Main,Black,43150,2,429409,4,104105,Alexandr Chernikov,RU,93500
Main,Black,43150,2,429411,6,9467,Baris Topuz,TR,43000
Main,Black,43150,2,429412,7,104833,BENI AMOS,IL,18900
Main,Black,43151,3,429416,1,22285,Georgios Tsouloftas,CY,78800
Main,Black,43151,3,429417,2,103744,Mert Tozlu,TR,31600
Main,Black,43151,3,429418,3,103955,Pavel Frolov,RU,16700
Main,Black,43151,3,429419,4,104848,Rashad Iskandarov,AZ,36200
Main,Black,43151,3,429420,5,99623,Cai Zheng,CN,40000
Main,Black,43151,3,429421,6,103554,Milos Skrbic,RS,42000
Main,Black,43151,3,429422,7,104140,Damir Gabdullin,RU,35000
Main,Black,43152,4,429426,1,101114,Alessio Isaia,IT,40000
Main,Black,43152,4,429427,2,103817,Muhammed Bozkurt,TR,40000
Main,Black,43152,4,429428,3,52952,Andrei Spataru,RO,40000
Main,Black,43152,4,429429,4,104091,Leonid Sidelkovskii,RU,40000
Main,Black,43152,4,429430,5,105125,CHADY EL OJEIL,LB,40000
Main,Black,43152,4,429431,6,103591,HALIL COKNEZ,DE,40000
Main,Black,43152,4,429432,7,101437,Oscar Romero Cobos,ES,40000
Main,Black,43153,5,429436,1,104191,Anatolii Chen,RU,62000
Main,Black,43153,5,429437,2,14765,Radoslav Sashov Stoyanov,BG,51500
Main,Black,43153,5,429438,3,104242,Denis Zelenkin,RU,8100
Main,Black,43153,5,429439,4,103285,Viktor Siegle,DE,34000
Main,Black,43153,5,429440,5,104073,Changyang Liu,CN,46000
Main,Black,43153,5,429441,6,28694,Ivan Poroliev,BG,56000
Main,Black,43153,5,429442,7,104576,Katerina Aristotelous,CY,15100
Main,Black,43154,6,429446,1,104523,Andrei Volkov,RU,36400
Main,Black,43154,6,429447,2,104158,Evgenii Chernyi,RU,69600
Main,Black,43154,6,429448,3,104142,Sergey Fedyaev,RU,31400
Main,Black,43154,6,429449,4,103940,Aleksandr Kilennikov,RU,31200
Main,Black,43154,6,429450,5,101419,Leonid Logunov,RU,40000
Main,Black,43154,6,429451,6,48857,Iurii Senchylo,UA,105000
Main,Black,43154,6,429452,7,100982,Erman Nejat Teoman,TR,45500
Main,Black,43155,7,429456,1,15474,Marco Carravieri,IT,80000
Main,Black,43155,7,429457,2,101792,Yazan Jerab,CA,80000
Main,Black,43155,7,429458,3,15035,Vadzim Lipauka,BY,47000
Main,Black,43155,7,429459,4,103864,Oleg Furman,RU,20000
Main,Black,43155,7,429460,5,101928,Daniel Eihaiany,IL,50000
Main,Black,43155,7,429461,6,103618,Henadzi Deilik,BY,33000
Main,Black,43155,7,429462,7,103652,Mikhail Katykhin,RU,26000
Main,Black,43156,8,429466,1,103970,Boris Koleznev,RU,137200
Main,Black,43156,8,429468,3,103888,Vitalii Pankov,RU,51000
Main,Black,43156,8,429469,4,104854,CLAUDIO STEFANO RINALDI,SZ,33400
Main,Black,43156,8,429470,5,104337,Alexey Losev,RU,25900
Main,Black,43156,8,429471,6,104095,Natik Ismailov,RU,39200
Main,Black,43156,8,429472,7,77650,Pratik Ghatge,GB,33300
Main,Black,43157,9,429476,1,103959,Moritz Pape,DE,22000
Main,Black,43157,9,429477,2,104174,Dauren Zhaparov,KZ,20000
Main,Black,43157,9,429478,3,870,Boris Smuskevicius,LT,50000
Main,Black,43157,9,429479,4,104176,Hussein Safari,CA,76000
Main,Black,43157,9,429480,5,105120,Joseph El Ghazal Mouawad,LB,46000
Main,Black,43157,9,429481,6,99293,DMITRII SHAKHOV,RU,18000
Main,Black,43157,9,429482,7,28546,Maxim Lykov,RU,95000
Main,Black,43158,10,429486,1,103877,Andrei Mashinistov,RU,125400
Main,Black,43158,10,429487,2,103588,Okan Gursan,TR,59000
Main,Black,43158,10,429488,3,104167,Suhail Waleed S Al-Nasrawi,CA,39100
Main,Black,43158,10,429489,4,104080,Babak Delrouz,IR,18500
Main,Black,43158,10,429490,5,104499,Sergei Tiapkin,RU,40000
Main,Black,43158,10,429491,6,33551,Xixiang Luo,CN,51800
Main,Black,43158,10,429492,7,92899,Pedram Mafi,AT,26200
Main,Black,43160,11,429506,1,104043,Adil Tlimisov,RU,50900
Main,Black,43160,11,429507,2,104078,Yevhen Buhaichuk,UA,39700
Main,Black,43160,11,429508,3,104125,Roman Kolotiuk,RU,49000
Main,Black,43160,11,429509,4,103976,Sergio Garcia Villalba Garcia,ES,21000
Main,Black,43160,11,429510,5,104207,Cengizhan Isikkaya,TR,40000
Main,Black,43160,11,429511,6,104129,Sukhrat Massimov,KZ,48200
Main,Black,43160,11,429512,7,101193,Aleksandr Kirichenko,RU,74000
Main,Black,43161,12,429516,1,102220,Levente Szabo,HU,40000
Main,Black,43161,12,429517,2,104249,Marat Tsytsykov,RU,40000
Main,Black,43161,12,429518,3,104117,Alireza Akbarzadehbeshroyeh,IR,40000
Main,Black,43161,12,429519,4,101446,Andrei Daniliuk,RU,40000
Main,Black,43161,12,429520,5,104102,Malka Oren Meir,IL,40000
Main,Black,43161,12,429521,6,103919,Vadzim Godzdanker,BY,40000
Main,Black,43161,12,429522,7,53236,Ben Fan,CN,40000
Main,Black,43162,13,429526,1,104112,Elio Farah,LB,40000
Main,Black,43162,13,429527,2,104111,Suat Uyanik,FR,40000
Main,Black,43162,13,429528,3,104115,Antoine Hasbani,LB,40000
Main,Black,43162,13,429529,4,104558,Pascal Vos,NL,40000
Main,Black,43162,13,429530,5,104118,Nikita Polianskii,RU,40000
Main,Black,43162,13,429531,6,104518,Sodbayar Munkhbat,MN,40000
Main,Black,43162,13,429532,7,105112,Semen Kravets,RU,40000
Main,Black,43163,14,429536,1,104071,Anton Danilov,RU,27600
Main,Black,43163,14,429537,2,104131,Tahsin alper Cankurtaranli,TR,20100
Main,Black,43163,14,429538,3,104138,Aleksandr Tabolin,RU,40900
Main,Black,43163,14,429539,4,104123,Ian Bogomolov,RU,77500
Main,Black,43163,14,429540,5,14750,Ilia Arkhipov,RU,34500
Main,Black,43163,14,429541,6,104814,Dmitrii Gromov,RU,27500
Main,Black,43163,14,429542,7,22855,Yiannis Liperis,GB,84700
Main,Black,43164,15,429546,1,57530,Roman Korenev,RU,9200
Main,Black,43164,15,429547,2,75580,Pedro Garcia,ES,54700
Main,Black,43164,15,429548,3,930,Garik Tamasian,RU,53300
Main,Black,43164,15,429549,4,104970,SERKAN SOLAK,TR,46600
Main,Black,43164,15,429550,5,1667,Aleksandr Faterin,RU,19300
Main,Black,43164,15,429551,6,36855,Ivan Uzunov,BG,51500
Main,Black,43164,15,429552,7,104128,Murat Uysal,TR,41700
Main,Black,43165,16,429556,1,105000,Grigory Zima,RU,55000
Main,Black,43165,16,429557,2,104328,Aleksandr Razinkov,RU,35000
Main,Black,43165,16,429558,3,33411,Halil Tasyurek,TR,43000
Main,Black,43165,16,429559,4,104166,Alfredo Versace,IT,30000
Main,Black,43165,16,429560,5,104132,Michel Georges Habib,LB,41000
Main,Black,43165,16,429561,6,104817,Fady Kamar,LB,55000
Main,Black,43165,16,429562,7,104076,Meisam Emami,IR,7000
Main,Black,43166,17,429566,1,101056,Mihai Trofim,MD,112000
Main,Black,43166,17,429567,2,70266,Ruslan Esov,RU,14500
Main,Black,43166,17,429569,4,104232,Maksim Boguslavskii,RU,50000
Main,Black,43166,17,429570,5,104528,Elena Litviniuk,RU,22000
Main,Black,43166,17,429571,6,103710,Xiaosheng Zheng,CN,22000
Main,Black,43166,17,429572,7,104950,Ahmad Rami Naall,SY,47000
Main,Black,43167,18,429576,1,18173,Andrei Kaigorodtcev,RU,30800
Main,Black,43167,18,429577,2,104934,Mariia Asmolova,RU,24800
Main,Black,43167,18,429578,3,104519,Ivan Zabiiakin,RU,61000
Main,Black,43167,18,429579,4,103881,Andrey Litvinov,RU,30500
Main,Black,43167,18,429580,5,104243,Shakhabiddin Muradov,UZ,54500
Main,Black,43167,18,429581,6,103759,Peng Huang,CN,39000
Main,Black,43167,18,429582,7,11820,Oleg Ustinovich,RU,40500
Main,Black,43168,19,429586,1,103752,Sergei Borstov,RU,40000
Main,Black,43168,19,429587,2,103781,Stanislan Sokruta,RU,40000
Main,Black,43168,19,429588,3,103962,Nemanja Lukovic,RS,83000
Main,Black,43168,19,429589,4,104988,Anna Shershneva,RU,35000
Main,Black,43168,19,429590,5,103773,Bekir Tolga Sivritepe,TR,36000
Main,Black,43168,19,429591,6,104110,Israel Amoyal,FR,42000
Main,Black,43168,19,429592,7,85163,Temur Abbosov,UZ,50000
Main,Black,43169,20,429596,1,14749,Roman GADZHIEV,AE,44000
Main,Black,43169,20,429597,2,103604,Mazalahedwa Bako,GB,49000
Main,Black,43169,20,429598,3,104301,SIMONE PASCUCCI,IT,40000
Main,Black,43169,20,429599,4,104815,Bakhos Alalam,LB,22000
Main,Black,43169,20,429600,5,104127,Aleksei Petrov,RU,55000
Main,Black,43169,20,429601,6,104113,Lucien Cohen,FR,40000
Main,Black,43169,20,429602,7,103593,Ivan Pavlov,BY,58000
Main,Black,43176,21,429666,1,103963,Artsiom Panasiuk,BY,45000
Main,Black,43176,21,429667,2,102822,Ahmad Abdelhadi,CA,35000
Main,Black,43176,21,429668,3,101310,Ghassan John Bitar,GH,70000
Main,Black,43176,21,429669,4,104313,Ramez Haddad,LB,15000
